Price,Close,High,Low,Open,Volume,Daily Return,MA20,MA50
Ticker,AAPL,AAPL,AAPL,AAPL,AAPL,,,
Date,,,,,,,,
2024-04-22,164.3443145751953,165.75150603037284,163.28397258003716,164.0272084619306,48116400,0.00509074491711714,168.35334396362305,173.11213165283203
2024-04-23,165.39476013183594,165.54341638804536,163.43262154349364,163.85875133255257,49537800,0.006391736515837909,168.1576240539551,172.67709045410157
2024-04-24,167.49566650390625,167.77314006308927,164.71101142134987,165.03802194946388,48251800,0.012702375639927599,168.1234359741211,172.31776123046876
2024-04-25,168.35780334472656,169.07131105182287,166.63349053238153,168.0010494911784,50558300,0.005147218783718266,167.9539779663086,172.01749450683593
2024-04-26,167.7731170654297,169.79471202253325,167.6541890412428,168.3478879652858,44838400,-0.0034728789974747265,167.84596099853516,171.72317291259765
2024-04-29,171.9352569580078,174.44243845784558,171.5388704832316,171.8064245491769,68169400,0.024808145460842423,168.0178970336914,171.5178421020508
2024-04-30,168.79380798339844,173.41178341278996,168.46678241475865,171.7667512024824,65934800,-0.018271115710587593,168.09172515869142,171.28040252685548
2024-05-01,167.7731170654297,171.15236652369296,167.58482822154218,168.05059058657778,50383100,-0.006046968962683419,168.07438278198242,171.0374136352539
2024-05-02,171.46946716308594,171.85594920671264,169.34876810707777,170.95415273119292,94214900,0.02203183777180895,168.2829833984375,170.85328887939454
2024-05-03,181.72613525390625,185.31348231884328,181.01262758822543,184.9666328542693,163224100,0.05981629418061418,168.96676025390624,170.8336669921875
2024-05-06,180.0712127685547,182.53874644704828,178.79283846563771,180.70544017490002,78569700,-0.009106683983783226,169.6237808227539,170.81761322021484
2024-05-07,180.75497436523438,183.23242749590466,179.68472791941784,181.79550770435065,77305800,0.0037971732747672515,170.2545394897461,170.84218963623047
2024-05-08,181.0919189453125,181.4189445721307,179.81354466582562,181.20092748758523,45057100,0.0018640957531674829,170.99579238891602,170.8443701171875
2024-05-09,182.90541076660156,182.99459544718977,180.4675903156434,180.91352883975787,48983000,0.010014206221077737,171.46799545288087,170.90680206298828
2024-05-10,181.64517211914062,183.66950932429603,180.7322345449188,183.4809650708303,50759500,-0.0068901113541637304,171.80236587524413,170.95730834960938
2024-05-13,184.850341796875,185.66405574980115,183.20307828852305,184.0167922414492,72044800,0.017645223599073168,172.48825607299804,171.09352111816406
2024-05-14,185.9915313720703,186.8548647149755,184.8602810891409,186.07091921634225,52393600,0.006173586503017248,173.39521255493165,171.34293548583983
2024-05-15,188.26397705078125,189.18683240943687,185.9320062923224,186.46787049037354,70400000,0.012218006174512297,174.48416976928712,171.73650054931642
2024-05-16,188.383056640625,189.6333963773736,188.20444533062346,189.0082265089993,52845200,0.0006325139397838075,175.62664794921875,172.15226684570314
2024-05-17,188.41281127929688,189.34559954047234,187.72810435814964,188.0555735439889,41282900,0.00015794753096409764,176.8716926574707,172.57100677490234
2024-05-20,189.57382202148438,190.44707314635468,187.5594028379898,187.87695420764547,44361300,0.006162058377582769,178.13316802978517,172.97867889404296
2024-05-21,190.87379455566406,191.2508679069906,189.45476137627725,189.62345487533878,42309400,0.006857342012297263,179.40711975097656,173.372314453125
2024-05-22,189.43492126464844,191.3401994424317,188.8097665310703,190.79441741971692,34648500,-0.00753834906653994,180.50408248901368,173.72765930175783
2024-05-23,185.44577026367188,189.5341459487459,185.19768892080702,189.51429520164533,51005900,-0.021058160630286094,181.35848083496094,174.04484222412108
2024-05-24,188.52197265625,189.11737394472448,186.59685898409072,187.37088671578107,36327000,0.016588150747274044,182.39592361450195,174.38648712158204
2024-05-28,188.53189086914062,191.5187845976106,187.64872194997955,190.04021443649896,52280100,5.261038143666852e-05,183.2257553100586,174.73586181640624
2024-05-29,188.82960510253906,190.77456966628964,188.05559245514976,188.15483105781396,53068000,0.0015791186945930402,184.22754516601563,175.06938873291017
2024-05-30,189.82192993164062,190.70509898235173,189.16700663796175,189.29599865097472,49889100,0.005255133741145723,185.32998580932616,175.37598815917968
2024-05-31,190.77455139160156,191.09210277636024,188.45251367186646,189.9707702687458,75158300,0.005018500551037475,186.29524002075195,175.6503073120117
2024-06-03,192.54087829589844,193.49351725389894,191.04247253185534,191.41954585254337,50080500,0.009258713446905986,186.83597717285156,176.10463623046874
2024-06-04,192.8584442138672,193.82100104656786,191.548567440495,193.1462119125533,47471400,0.001649342834515899,187.4753387451172,176.5472799682617
2024-06-05,194.3667755126953,195.38886948576234,193.37445009094603,193.9003813531384,54156800,0.007820924331192192,188.15592880249022,177.04843231201173
2024-06-06,192.98744201660156,194.99194358986873,192.679823561343,194.1881624282746,41181800,-0.007096549770172267,188.75070495605468,177.54459259033203
2024-06-07,195.3789520263672,195.4285713258788,192.65005711175448,193.15613762673084,53103900,0.01239204989078968,189.37438201904297,178.01723236083984
2024-06-10,191.6378631591797,195.7857909182053,190.6753063763642,195.3888517006261,97010200,-0.01914786023973869,189.87401657104493,178.45132049560547
2024-06-11,205.56019592285156,205.57012886730556,192.14396771907968,192.1638033246204,172373300,0.07264917555518546,190.90950927734374,179.19259368896485
2024-06-12,211.43478393554688,218.5100538646653,205.3121227860245,205.7785169434978,198134300,0.028578431667286797,192.1816719055176,180.07494445800782
2024-06-13,212.59579467773438,215.08652592836702,209.9760562824749,213.09195736730385,97862700,0.005491105676071806,193.39826278686525,180.9644610595703
2024-06-14,210.8592071533203,213.51863167298376,209.67833763090172,212.20877015870124,70122700,-0.008168494240662127,194.5220703125,181.83569610595703
2024-06-17,215.0071258544922,217.2696263789355,211.08744385812574,211.73244926121387,93728300,0.019671508572807195,195.85178604125977,182.77482666015624
2024-06-18,212.64540100097656,216.95210469802018,211.36530791117931,215.92007781385274,79943300,-0.01098440269888512,197.00536499023437,183.68911865234375
2024-06-20,208.07077026367188,212.59578653831548,207.24715355520107,212.28815296354617,86172500,-0.02151295403413722,197.86521377563477,184.48773803710938
2024-06-21,205.89759826660156,210.26382387597764,205.5205097773767,208.77533580800622,241805100,-0.010444388677546712,198.68834762573243,185.2803527832031
2024-06-24,206.5426025390625,211.06760381745957,205.00449518251241,206.12582769938734,80727000,0.003132645926378297,199.74318923950196,185.9419778442383
2024-06-25,207.46546936035156,209.75773850908567,207.0089930344414,207.54484206411715,55549700,0.004468166905733373,200.69036407470702,186.59213195800783
2024-06-26,211.6134033203125,213.21104790884368,209.02343327658642,209.87683377372142,66213200,0.019993370331697458,201.8444396972656,187.4017492675781
2024-06-27,212.45689392089844,214.08430712231802,210.72032430967755,213.04236232724844,49772700,0.003985997991389878,203.0258041381836,188.2938391113281
2024-06-28,209.00355529785156,214.41174043740799,208.68601906723538,214.1140398112984,82542700,-0.016254302504924212,203.98488540649413,189.1442135620117
2024-07-01,215.08651733398438,215.84067914098924,210.29358412725625,210.46227761796723,60402900,0.029104586414637534,205.2004837036133,190.13527404785157
2024-07-02,218.57952880859375,218.68868521261126,213.44920810314017,214.4911377013164,58046200,0.016240029909385,206.50241622924804,191.23662628173827
2024-07-03,219.8496856689453,219.8496856689453,217.34902153194005,218.31157833867707,37369800,0.0058109598244391325,207.85197830200195,192.34673370361327
2024-07-05,224.6029052734375,224.71206166235044,219.94889718329503,219.94889718329503,60412400,0.0216203156717254,209.36378479003906,193.5308966064453
2024-07-08,226.07156372070312,226.1013322692385,221.53662969916704,225.34715532852172,59085900,0.0065389111751588125,211.01799087524415,194.70241455078124
2024-07-09,226.92494201660156,227.63941744293055,224.63267299949706,226.18069804264906,48076100,0.00377481485001252,212.59529037475585,195.87375732421876
2024-07-10,231.1919403076172,231.29117889263895,227.49057123987387,227.54019053238477,62627700,0.018803566734869825,214.57299423217773,197.1421337890625
2024-07-11,225.823486328125,230.60648662367137,224.03729767642758,229.61416127735984,64710600,-0.023220766140675475,215.5861587524414,198.21989837646484
2024-07-12,228.77069091796875,230.8545803134063,226.92496506939614,227.1631286162611,53046500,0.013050921486357003,216.4529541015625,199.41943603515625
2024-07-15,232.60105895996094,235.409341553401,231.30111515749465,234.66509753137677,62631300,0.01674326386226488,217.45321731567384,200.71599487304687
2024-07-16,233.017822265625,234.45669084850812,230.54692694431867,233.19643354245886,43234300,0.001791751540287656,218.56114807128907,201.94696197509765
2024-07-17,227.12344360351562,229.6836449661141,224.9006292447048,227.6890612108438,57345900,-0.025295827610087973,219.16696395874024,202.85490814208984
2024-07-18,222.45947265625,228.6714385621368,220.5641428905974,228.5126628842939,66034600,-0.02053496051868342,219.6576675415039,203.70267333984376
2024-07-19,222.58848571777344,225.05938116686082,221.5663918696606,223.09458131167176,49151500,0.0005799396176884297,220.383553314209,204.53934356689453
2024-07-22,222.24118041992188,226.03185518490554,221.37784711424985,225.2677604657143,48201800,-0.00156030217255676,221.200732421875,205.36232879638672
2024-07-23,223.28314208984375,225.19833806517673,220.9710219946754,222.6480544130964,39960300,0.004688427536035933,222.03775939941406,206.16988342285157
2024-07-24,216.86277770996094,223.0747441599071,215.46361045876344,222.280880842846,61777600,-0.02875436237501272,222.50762481689452,206.87423553466797
2024-07-25,215.8208465576172,219.15506035064124,212.97286249707204,217.24978234747041,51391200,-0.004804564265690869,222.71799697875977,207.49364562988282
2024-07-26,216.28724670410156,217.80550332568987,214.35220009781358,217.02155779536062,41601300,0.0021610523446808916,222.9095146179199,208.09955993652343
2024-07-29,216.5651092529297,217.61697179557376,214.0942134588753,215.29493390237633,36311800,0.00128469224636385,223.28759231567383,208.6655825805664
2024-07-30,217.1207733154297,218.63902977566391,214.4613337033208,217.50777956722112,41643800,0.002565806026727291,223.3893051147461,209.2403369140625
2024-07-31,220.3756103515625,222.10226187087767,218.93674165630796,219.7405227481965,50036300,0.01499090569009831,223.47910919189454,209.8795928955078
